LEVEL1ID	LEVEL2ID	LEVEL3ID	LEVEL4ID	LEVEL5ID	SURVEYR	QUESTION	ANSWER1	ANSWER2	ANSWER3	ANSWER4	ANSWER5	SCORE100	ANSCOUNT
3	206	0	0	0	2018	Q06	41	38	13	5	2	78	58
3	207	0	0	0	2018	Q06	22	26	26	19	7	59	58
3	208	0	0	0	2018	Q06	21	32	17	17	12	59	462
3	208	325	0	0	2018	Q06	23	29	13	22	13	57	39
3	208	326	0	0	2018	Q06	25	22	18	15	19	55	63
3	208	327	0	0	2018	Q06	23	29	18	23	7	60	52
3	208	328	0	0	2018	Q06	21	44	16	7	11	64	28
3	208	329	0	0	2018	Q06	17	31	29	14	7	60	70
3	208	330	0	0	2018	Q06	11	28	16	29	16	47	43
3	208	331	0	0	2018	Q06	39	15	10	20	16	60	19
3	208	332	0	0	2018	Q06	7	38	11	18	26	45	45
3	208	334	0	0	2018	Q06	29	45	20	4	2	73	22
3	208	334	419	0	2018	Q06	30	39	19	7	4	71	12
3	209	0	0	0	2018	Q06	20	33	23	11	13	59	1028
3	209	335	0	0	2018	Q06	26	24	18	15	17	57	25
3	209	337	0	0	2018	Q06	17	27	21	24	11	54	70
3	209	337	420	0	2018	Q06	17	22	16	24	21	47	19
3	209	337	421	0	2018	Q06	21	30	21	25	3	60	32
3	209	338	0	0	2018	Q06	17	35	26	9	12	59	149
3	209	338	422	0	2018	Q06	16	33	28	10	12	58	115
3	209	338	424	0	2018	Q06	39	26	17	9	9	69	12
3	209	339	0	0	2018	Q06	24	36	24	9	7	65	281
3	209	339	425	0	2018	Q06	27	33	24	11	5	67	98
3	209	339	426	0	2018	Q06	19	33	27	9	12	59	42
3	209	339	427	0	2018	Q06	25	28	27	14	6	63	47
3	209	339	428	0	2018	Q06	19	48	18	9	7	65	44
3	209	339	429	0	2018	Q06	34	38	14	3	11	70	27
3	209	340	0	0	2018	Q06	24	29	19	12	16	58	110
3	209	340	430	0	2018	Q06	27	32	5	21	15	59	18
3	209	340	431	0	2018	Q06	24	24	22	13	17	56	42
3	209	340	432	0	2018	Q06	31	31	14	10	13	64	21
3	209	340	433	0	2018	Q06	7	41	22	12	19	51	14
3	209	341	0	0	2018	Q06	19	29	23	10	18	55	178
3	209	341	435	0	2018	Q06	23	22	32	10	13	58	32
3	209	341	436	0	2018	Q06	16	31	24	5	25	52	47
3	209	341	436	503	2018	Q06	12	27	26	5	30	47	25
3	209	341	437	0	2018	Q06	15	13	31	19	22	45	24
3	209	341	438	0	2018	Q06	29	51	9	6	6	73	16
3	209	341	440	0	2018	Q06	26	40	20	6	8	67	18
3	209	341	441	0	2018	Q06	20	35	20	11	9	62	20
3	210	0	0	0	2018	Q06	39	33	14	4	9	72	69
3	211	0	0	0	2018	Q06	30	30	20	11	9	65	152
3	211	342	0	0	2018	Q06	37	37	10	8	8	72	48
3	211	343	0	0	2018	Q06	34	34	10	11	10	68	30
3	211	344	0	0	2018	Q06	17	27	27	19	10	55	11
3	211	345	0	0	2018	Q06	20	35	22	15	7	61	14
3	212	0	0	0	2018	Q06	31	37	12	9	10	67	119
3	213	0	0	0	2018	Q06	23	35	20	11	10	62	184
3	213	346	0	0	2018	Q06	31	15	21	20	10	60	29
3	213	348	0	0	2018	Q06	27	40	20	8	5	69	31
3	213	349	0	0	2018	Q06	16	41	12	6	25	54	26
3	213	350	0	0	2018	Q06	17	27	33	14	9	57	25
3	213	351	0	0	2018	Q06	31	34	25	5	5	70	23
3	214	0	0	0	2018	Q06	32	33	21	9	6	69	80
3	215	0	0	0	2018	Q06	19	28	21	17	15	55	112
3	216	0	0	0	2018	Q06	44	33	13	2	7	77	46
3	217	0	0	0	2018	Q06	24	32	19	14	11	61	889
3	217	352	0	0	2018	Q06	22	32	14	26	7	59	49
3	217	354	0	0	2018	Q06	21	29	20	14	16	57	59
3	217	355	0	0	2018	Q06	13	52	11	21	3	63	33
3	217	357	0	0	2018	Q06	27	31	18	12	13	62	42
3	217	358	0	0	2018	Q06	40	26	19	7	8	70	13
3	217	359	0	0	2018	Q06	29	39	32	0	0	74	25
3	217	360	0	0	2018	Q06	39	42	6	6	7	75	42
3	217	361	0	0	2018	Q06	31	28	21	12	8	65	147
3	217	361	442	0	2018	Q06	38	24	19	11	7	69	54
3	217	361	442	506	2018	Q06	45	33	10	0	12	74	12
3	217	361	449	0	2018	Q06	28	40	32	0	0	74	11
3	217	361	450	0	2018	Q06	25	42	20	0	12	67	17
3	217	361	451	0	2018	Q06	23	24	30	17	6	60	25
3	217	362	0	0	2018	Q06	21	32	19	16	12	58	321
3	217	362	453	0	2018	Q06	17	32	25	19	7	58	46
3	217	362	454	0	2018	Q06	31	38	14	13	2	71	34
3	217	362	455	0	2018	Q06	24	25	6	19	26	50	16
3	217	362	456	0	2018	Q06	16	30	16	19	20	51	32
3	217	362	458	0	2018	Q06	19	37	19	8	17	58	28
3	217	362	459	0	2018	Q06	25	33	31	7	4	67	27
3	217	362	460	0	2018	Q06	21	25	23	24	8	57	13
3	217	362	462	0	2018	Q06	12	21	13	16	39	38	18
3	217	362	464	0	2018	Q06	29	8	37	19	7	58	14
3	217	362	466	0	2018	Q06	22	31	16	16	15	57	28
3	218	0	0	0	2018	Q06	15	53	22	10	0	68	20
3	219	0	0	0	2018	Q06	50	24	13	11	0	79	46
3	220	0	0	0	2018	Q06	24	32	20	13	11	61	486
3	220	363	0	0	2018	Q06	29	35	14	13	8	66	46
3	220	363	467	0	2018	Q06	30	37	9	5	19	64	21
3	220	363	468	0	2018	Q06	26	34	22	18	0	67	18
3	220	364	0	0	2018	Q06	26	34	12	16	12	61	59
3	220	364	469	0	2018	Q06	28	22	15	24	11	58	14
3	220	364	470	0	2018	Q06	24	39	12	12	12	63	31
3	220	365	0	0	2018	Q06	22	32	20	12	14	59	263
3	220	365	471	0	2018	Q06	19	33	21	13	14	58	51
3	220	365	472	0	2018	Q06	13	31	21	9	22	51	36
3	220	365	473	0	2018	Q06	11	60	11	12	6	65	33
3	220	365	474	0	2018	Q06	41	36	7	16	0	75	23
3	220	365	475	0	2018	Q06	10	24	33	11	21	48	24
3	220	365	476	0	2018	Q06	25	20	19	16	21	53	45
3	220	365	477	0	2018	Q06	54	6	20	5	14	70	16
3	220	365	478	0	2018	Q06	32	33	30	0	6	71	10
3	221	0	0	0	2018	Q06	15	31	21	14	20	52	845
3	221	366	0	0	2018	Q06	29	28	10	18	15	59	28
3	221	367	0	0	2018	Q06	14	32	22	14	17	53	393
3	221	367	480	0	2018	Q06	19	23	23	17	19	52	41
3	221	367	481	0	2018	Q06	15	37	18	9	20	55	139
3	221	367	482	0	2018	Q06	29	29	13	16	14	61	34
3	221	367	483	0	2018	Q06	12	30	25	16	16	52	159
3	221	368	0	0	2018	Q06	13	29	20	13	25	48	309
3	221	368	484	0	2018	Q06	22	33	15	7	23	56	26
3	221	368	485	0	2018	Q06	17	30	11	17	25	49	92
3	221	368	486	0	2018	Q06	11	28	23	12	26	46	172
3	222	0	0	0	2018	Q06	32	18	17	18	12	60	43
3	223	0	0	0	2018	Q06	31	26	16	13	14	62	205
3	223	369	0	0	2018	Q06	29	34	9	14	15	62	19
3	223	370	0	0	2018	Q06	21	29	14	22	14	55	14
3	223	371	0	0	2018	Q06	19	43	20	9	10	63	19
3	223	372	0	0	2018	Q06	32	11	20	18	19	55	32
3	223	373	0	0	2018	Q06	31	12	35	7	15	59	26
3	223	374	0	0	2018	Q06	41	27	11	19	2	72	32
3	999	0	0	0	2018	Q06	20	31	21	14	14	57	985
4	0	0	0	0	2011	Q06	15	34	16	17	17	53	11806
4	0	0	0	0	2014	Q06	14	30	18	19	19	50	10960
4	0	0	0	0	2017	Q06	14	28	16	18	23	48	8753
4	0	0	0	0	2018	Q06	15	27	16	16	24	48	7248
4	200	0	0	0	2018	Q06	17	30	18	14	20	52	700
4	200	300	0	0	2018	Q06	34	41	12	11	2	73	115
4	200	301	0	0	2018	Q06	11	23	16	23	28	42	115
4	200	302	0	0	2018	Q06	17	29	23	12	20	53	137
4	200	303	0	0	2018	Q06	8	41	24	11	17	53	73
4	200	304	0	0	2018	Q06	15	31	6	11	36	45	44
4	200	305	0	0	2018	Q06	25	28	19	19	8	61	37
4	200	306	0	0	2018	Q06	35	28	14	18	5	68	41
4	201	0	0	0	2018	Q06	13	30	23	17	17	51	1229
4	201	307	0	0	2018	Q06	28	34	20	12	6	66	145
4	201	308	0	0	2018	Q06	11	31	19	21	17	50	119
4	201	309	0	0	2018	Q06	3	20	23	24	30	35	86
4	201	310	0	0	2018	Q06	9	24	28	20	19	47	50
4	201	311	0	0	2018	Q06	9	27	28	21	15	49	127
4	201	312	0	0	2018	Q06	6	24	19	19	31	39	62
4	201	313	0	0	2018	Q06	8	43	23	13	12	56	54
4	201	314	0	0	2018	Q06	14	21	15	16	33	42	82
4	201	315	0	0	2018	Q06	12	18	26	22	22	44	54
4	201	316	0	0	2018	Q06	11	39	36	8	6	60	70
4	201	317	0	0	2018	Q06	21	51	16	6	5	70	107
4	201	318	0	0	2018	Q06	20	40	20	14	6	64	71
4	202	0	0	0	2018	Q06	15	23	14	17	30	44	1286
4	202	319	0	0	2018	Q06	31	30	14	11	14	64	155
4	202	320	0	0	2018	Q06	8	13	8	17	53	27	94
4	202	321	0	0	2018	Q06	20	25	13	19	22	50	104
4	202	322	0	0	2018	Q06	13	25	16	22	24	45	105
4	202	323	0	0	2018	Q06	9	18	14	20	40	34	115
4	202	324	0	0	2018	Q06	11	18	16	16	38	37	163
4	202	325	0	0	2018	Q06	15	25	24	19	17	51	68
4	202	326	0	0	2018	Q06	21	23	10	13	32	47	64
4	202	327	0	0	2018	Q06	13	32	20	23	13	52	61
4	202	328	0	0	2018	Q06	20	29	13	16	22	52	66
4	203	0	0	0	2018	Q06	13	25	14	18	29	44	1477
4	203	329	0	0	2018	Q06	28	32	11	19	10	63	125
4	203	330	0	0	2018	Q06	4	23	8	30	35	33	87
4	203	331	0	0	2018	Q06	18	23	12	18	28	46	146
4	203	332	0	0	2018	Q06	10	21	17	18	33	39	112
4	203	333	0	0	2018	Q06	26	21	27	10	14	59	29
4	203	334	0	0	2018	Q06	32	31	13	8	17	63	21
4	203	335	0	0	2018	Q06	10	20	14	23	33	38	122
4	203	336	0	0	2018	Q06	9	36	15	12	28	47	57
4	203	337	0	0	2018	Q06	23	16	15	12	34	45	27
4	203	338	0	0	2018	Q06	5	20	8	24	41	31	117
4	203	339	0	0	2018	Q06	13	19	18	19	32	41	69
4	203	340	0	0	2018	Q06	4	30	21	7	38	39	69
4	203	341	0	0	2018	Q06	21	40	17	9	13	61	63
4	203	342	0	0	2018	Q06	16	28	13	22	22	49	63
4	204	0	0	0	2018	Q06	12	25	15	18	31	42	999
4	204	343	0	0	2018	Q06	23	42	10	10	15	62	111
4	204	344	0	0	2018	Q06	25	28	5	22	20	54	29
4	204	345	0	0	2018	Q06	8	14	17	26	36	33	62
4	204	346	0	0	2018	Q06	11	22	11	20	35	39	101
4	204	347	0	0	2018	Q06	11	30	21	17	20	49	115
4	204	348	0	0	2018	Q06	5	8	15	15	57	22	71
4	204	349	0	0	2018	Q06	15	40	24	16	4	61	17
4	204	350	0	0	2018	Q06	7	24	15	24	30	39	115
4	204	351	0	0	2018	Q06	15	38	8	16	24	51	54
4	204	352	0	0	2018	Q06	25	26	21	18	11	59	85
4	205	0	0	0	2018	Q06	27	34	15	11	13	63	1149
4	205	353	0	0	2018	Q06	53	28	6	4	6	80	47
4	205	354	0	0	2018	Q06	37	34	13	7	10	71	70
4	205	355	0	0	2018	Q06	16	36	16	12	21	54	64
4	205	356	0	0	2018	Q06	30	40	10	8	11	67	130
4	205	357	0	0	2018	Q06	45	15	30	0	10	71	12
4	205	358	0	0	2018	Q06	23	14	35	11	18	53	23
4	205	359	0	0	2018	Q06	20	38	18	12	13	60	25
4	205	360	0	0	2018	Q06	19	20	6	16	39	41	19
4	205	361	0	0	2018	Q06	30	6	11	19	33	45	15
4	205	362	0	0	2018	Q06	36	43	9	8	5	74	40
4	205	363	0	0	2018	Q06	26	29	21	11	10	62	33
4	205	366	0	0	2018	Q06	12	27	14	36	10	49	16
4	205	367	0	0	2018	Q06	6	28	19	38	9	46	17
4	205	368	0	0	2018	Q06	35	19	22	3	21	61	17
4	205	369	0	0	2018	Q06	22	35	12	7	24	56	91
4	205	370	0	0	2018	Q06	16	42	16	10	17	58	31
4	205	371	0	0	2018	Q06	30	36	19	12	4	69	75
4	205	372	0	0	2018	Q06	38	38	15	4	4	76	26
4	205	373	0	0	2018	Q06	20	40	18	9	13	61	132
4	205	379	0	0	2018	Q06	45	42	0	13	0	80	16
4	205	380	0	0	2018	Q06	36	29	19	10	6	70	49
4	205	381	0	0	2018	Q06	41	31	5	18	5	71	41
4	205	382	0	0	2018	Q06	16	46	13	18	7	62	45
4	999	0	0	0	2018	Q06	25	32	14	16	12	60	73
5	0	0	0	0	2011	Q06	21	36	17	14	11	61	7497
5	0	0	0	0	2014	Q06	20	35	18	15	11	59	5765
5	0	0	0	0	2017	Q06	26	35	15	13	11	63	5711
5	0	0	0	0	2018	Q06	24	37	17	12	9	64	6851
5	200	0	0	0	2018	Q06	21	36	18	14	10	61	2001
5	200	300	0	0	2018	Q06	28	37	15	10	8	67	375
5	200	300	400	0	2018	Q06	23	40	11	13	13	61	45
5	200	300	401	0	2018	Q06	16	43	19	9	10	62	96
5	200	300	402	0	2018	Q06	30	41	20	2	7	71	40
5	200	300	403	0	2018	Q06	33	29	15	16	5	67	103
5	200	300	404	0	2018	Q06	39	33	7	9	12	70	43
5	200	301	0	0	2018	Q06	33	21	22	4	10	67	79
